id,title,artist,genres,album,year,duration_sec,cover_url,cover_local,download_url,track_url
136943,Fake ID,kizaru & ICEGERGERT,ТОП-100,Fake ID,2025,229,https://album-si-1.s3.adman.com/8e28/8e28c16d3ecc0a5b8038a6ac62d7222a.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=5424e72edb25eddcb09f59546208ef0d5d98dbbc8d56adb21b95fbc9eb1dc93d,,https://music-1.s3.adman.com/c2ca/c2ca52f40c6d6c0d5af51da6b4ddab49.mp3?response-content-type=application%2Foctet-stream&response-content-disposition=attachment%3B%20filename%3DFake%20ID%20-%20kizaru%20%26%20ICEGERGERT.mp3&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=43200&X-Amz-Signature=275c0dd264143e041eb0e960209e596171c5ff8ffef81844f1522369bc5a6f46,https://hitmotop.me/song/136943
136966,Homay,AY YOLA,ТОП-100,Homay,2025,244,https://album-si-1.s3.adman.com/e118/e118ca2c53f29d6da3573d027a3de1eb.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=224ea7bc2480f58ecbe60a86e8deb953268584b38dd1adfa6e48d63081664fd5,,https://hitmotop.me/download/136966.mp3,https://hitmotop.me/song/136966
136967,Пахнешь как,SOLIDNAYA & SAKXRA,ТОП-100,Пахнешь как,2025,100,https://album-si-1.s3.adman.com/81e0/81e0aca1603406137812816a02c0f0cd.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=6d347dbf4e3a962be97f72382dc551d35c9ea1816c550786bdffb8650ed7ee8b,,https://hitmotop.me/download/136967.mp3,https://hitmotop.me/song/136967
136968,Я твой стресс (S.O.S. cover),Sabi & Айгюн Кязымова,ТОП-100,Я твой стресс (S.O.S. cover),2025,122,https://album-si-1.s3.adman.com/f6c0/f6c08f99929c143fa9ce5c8ace78001f.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=4245b8c3478ec697dd631cd850b2388988f38bdd2faecb185e318848fedd1b19,,https://hitmotop.me/download/136968.mp3,https://hitmotop.me/song/136968
136970,Худи,Джиган & Artik & Asti & NILETTO,ТОП-100,Худи,2024,166,https://album-si-1.s3.adman.com/758a/758a1959926a2f798c6e18ff14a297a1.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=383709c42348498a251e4b7d72324d5f1aef98999de8a540d6d2721610a6d071,,https://music-1.s3.adman.com/4251/425122ef9421d0721801dd603b09268f.mp3?response-content-type=application%2Foctet-stream&response-content-disposition=attachment%3B%20filename%3D%D0%A5%D1%83%D0%B4%D0%B8%20-%20%D0%94%D0%B6%D0%B8%D0%B3%D0%B0%D0%BD%20%26%20Artik%20%26%20Asti%20%26%20NILETTO.mp3&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=43200&X-Amz-Signature=44caa55e9751ca1ef7815f241f12c04e4fc60ab77f0b4dcb97943a6b3fd2c36a,https://hitmotop.me/song/136970
136600,так по***,madk1d,ТОП-100,sexyswag,2025,108,https://album-si-1.s3.adman.com/2a0a/2a0a3c060842128c2fa4c66712139305.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=cb894b48051890de49f3497d866c04c226ed77ff7ae8d2f31591d4fdfcb11b8f,,https://hitmotop.me/download/136600.mp3,https://hitmotop.me/song/136600
136971,Наследство,ICEGERGERT & SKY RAE,ТОП-100,Наследство,2025,130,https://album-si-1.s3.adman.com/ca2c/ca2cbcc4028f432ee1746baa0a13d219.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=356698008eae222ae05833a9f2cebf5ef6e8b4e60fe80ee95b8a8f59065fd51b,,https://music-1.s3.adman.com/57e2/57e22c2af711ff09aac7e1623f4015e1.mp3?response-content-type=application%2Foctet-stream&response-content-disposition=attachment%3B%20filename%3D%D0%9D%D0%B0%D1%81%D0%BB%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20-%20ICEGERGERT%20%26%20SKY%20RAE.mp3&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=43200&X-Amz-Signature=82d5a98d228411448a91f573da347e5bec4aef94cdf8892de63d6707669b0b41,https://hitmotop.me/song/136971
136972,TOKYO,SQWOZ BAB,ТОП-100,TOKYO,2025,160,https://album-si-1.s3.adman.com/2616/2616c5654fe609a6edcbe5c83d3e326a.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=9fd65967d5e638eb6ecc12570ff51a2d73b45786277b79bcda6376fdd5f860cd,,https://hitmotop.me/download/136972.mp3,https://hitmotop.me/song/136972
136650,Матушка,Татьяна Куртукова,ТОП-100,У истока,2024,172,https://album-si-1.s3.adman.com/59bf/59bf6650ef543aa7f8783a4ba73feee3.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=70fa8a11b285321b325c2a9a943017e9e17a93800d7a734d3f2671cc767d86e2,,https://hitmotop.me/download/136650.mp3,https://hitmotop.me/song/136650
136974,L,MACAN,ТОП-100,L,2025,158,https://album-si-1.s3.adman.com/f90b/f90be3a43dd786e60615766b931fa1bf.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=3dbb26841ae351ec8643cb98dcfb7f20d9d6cc3fbaf15db7ea782c745a2f2b43,,https://music-1.s3.adman.com/8181/81811c7d969ab37f622cd2418ed91f5c.mp3?response-content-type=application%2Foctet-stream&response-content-disposition=attachment%3B%20filename%3DL%20-%20MACAN.mp3&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=PH8O8WZJ4XXMAEQ2HFWH%2F20260305%2Fdefault%2Fs3%2Faws4_request&X-Amz-Date=20260305T161130Z&X-Amz-SignedHeaders=host&X-Amz-Expires=43200&X-Amz-Signature=2d4e3f726b5ad7fb1743d2a1932dfc687f7d85ec2ace3e58688089f760ed14fd,https://hitmotop.me/song/136974
